"Fine
Aggregate","Coarse
Aggregate","Fly ash","Silica
Fume","Cement","Slag","Water","Superplasticizer","Age","Compressive 
Strength"
"883","751","136","0","145","106","208","10","28","26.02"
"902","768","139","0","148","109","193","7","28","28.03"
"836","735","167","0","142","130","215","6","28","31.37"
"691","959","0","0","354","0","234","6","28","33.91"
"730","1013","0","0","374","0","190","7","28","32.44"
"720","953","149","0","159","116","175","15","28","34.05"
"684","1002","239","0","153","0","200","6","28","28.29"
"766","750","136","0","295","106","206","11","28","41.01"
"804","914","143","0","310","0","168","10","28","49.3"
"685","932","0","0","296","97","219","9","28","29.23"
"705","959","0","0","305","100","196","10","28","29.77"
"804","787","143","0","310","0","218","10","28","36.19"
"749","961","0","0","146","178","192","11","28","17.19"
"775","871","164","0","140","128","183","12","28","33.38"
"686","783","142","0","308","111","217","10","28","42.08"
"650","871","136","0","295","106","208","6","28","39.4"
"655","878","137","0","298","107","201","6","28","41.27"
"757","851","161","0","314","0","207","6","28","41.14"
"774","870","164","0","321","0","190","5","28","45.82"
"721","785","178","0","349","0","230","6","28","43.95"
"757","824","187","0","366","0","191","7","28","52.65"
"827","759","115","0","274","89","202","9","28","35.52"
"757","708","214","0","137","167","226","6","28","34.45"
"790","810","127","0","275","99","184","13","28","43.54"
"821","835","97","0","252","76","194","8","28","33.11"
"729","1023","0","0","165","150","182","12","28","18.26"
"706","1035","246","0","158","0","174","7","28","34.99"
"698","1022","243","0","156","0","180","11","28","33.78"
"715","752","227","0","145","177","209","11","28","35.66"
"683","797","181","0","154","141","234","11","28","33.51"
"710","829","188","0","160","146","203","11","28","33.51"
"797","859","0","0","291","105","205","6","28","27.62"
"815","879","0","0","298","107","186","6","28","30.97"
"737","861","0","0","318","126","210","6","28","31.77"
"679","883","118","0","280","92","207","9","28","37.39"
"696","904","121","0","287","94","188","9","28","43.01"
"792","884","167","0","326","0","174","6","28","52.65"
"776","866","163","0","320","0","188","9","28","45.69"
"747","770","0","0","342","136","225","11","28","32.04"
"778","801","0","0","356","142","193","11","28","36.46"
"680","912","142","0","309","0","218","10","28","38.59"
"709","951","149","0","322","0","186","8","28","45.42"
"818","821","0","0","159","193","208","12","28","19.19"
"765","904","0","0","307","110","189","10","28","31.5"
"758","846","0","0","313","124","205","11","28","29.63"
"672","891","168","0","143","131","217","6","28","26.42"
"656","869","164","0","140","128","237","6","28","29.5"
"799","875","117","0","278","0","205","9","28","32.71"
"829","908","121","0","288","0","177","7","28","39.93"
"745","881","0","0","299","107","210","10","28","28.29"
"725","857","0","0","291","104","231","9","28","30.43"
"790","833","111","0","265","86","195","6","28","37.39"
"683","1041","248","0","159","0","175","12","28","35.39"
